benchmark,time,charge,mAh_total,mAh_cpu,mAh_wifi,energy_total,energy_cpu,energy_wifi
localLoginSharedPref-10000,285.0,1.788,0.355,0.354,0.00111,2.285064,2.2786272,0.0071448480000000005
localLoginSharedPref-50000,819.0,1.832,0.251,0.249,0.00111,1.6553952000000003,1.6422048,0.007320672000000001
localLoginSharedPref-50000,410.0,1.877,0.411,0.41,0.00111,2.7772092,2.770452,0.007500492000000001
localLoginSharedPref-50000,440.0,1.877,0.413,0.412,0.00111,2.7907235999999997,2.7839663999999997,0.007500492000000001
localLoginSharedPref-50000,398.0,1.877,0.397,0.396,0.00111,2.6826084,2.6758512000000003,0.007500492000000001
localLoginSharedPref-50000,385.0,1.877,0.442,0.441,0.00111,2.9866824,2.9799252000000003,0.007500492000000001
localLoginSharedPref-50000,407.0,1.877,0.424,0.423,0.00111,2.8650528,2.8582956,0.007500492000000001
localLoginSharedPref-50000,783.0,1.832,0.432,0.431,0.00111,2.8491264,2.8425312000000003,0.007320672000000001
localLoginSharedPref-50000,370.0,1.832,0.43,0.429,0.00111,2.8359360000000002,2.8293408,0.007320672000000001
localLoginSharedPref-50000,408.0,1.832,0.417,0.416,0.00111,2.7501984,2.7436032000000004,0.007320672000000001
localLoginSharedPref-50000,376.0,1.832,0.423,0.422,0.00111,2.7897696,2.7831744,0.007320672000000001
localLoginSharedPref-50000,395.0,1.832,0.395,0.394,0.00111,2.6051040000000003,2.5985088000000003,0.007320672000000001
localLoginSharedPref-50000,399.0,1.877,0.421,0.42,0.00117,2.8447812,2.838024,0.007905924000000002
localLoginSharedPref-50000,399.0,1.832,0.399,0.398,0.00111,2.6314848000000004,2.6248896000000004,0.007320672000000001
localLoginSharedPref-50000,437.0,1.877,0.421,0.419,0.00123,2.8447812,2.8312668,0.008311355999999999
localLoginSharedPref-50000,484.0,1.832,0.375,0.374,0.00111,2.4732000000000003,2.4666048000000003,0.007320672000000001
localLoginSharedPref-50000,724.0,1.832,0.321,0.32,0.00111,2.1170592,2.1104640000000003,0.007320672000000001
localLoginSharedPref-50000,853.0,1.832,0.214,0.213,0.00111,1.4113728,1.4047776,0.007320672000000001
localLoginSharedPref-50000,457.0,1.877,0.398,0.397,0.00111,2.6893656000000004,2.6826084,0.007500492000000001
localLoginSharedPref-50000,841.0,1.832,0.108,0.107,0.00111,0.7122816,0.7056864,0.007320672000000001
localLoginSharedPref-50000,395.0,1.877,0.405,0.404,0.00111,2.7366660000000005,2.7299088000000005,0.007500492000000001
localLoginSharedPref-50000,780.0,1.832,0.175,0.174,0.00111,1.15416,1.1475648,0.007320672000000001
localLoginSharedPref-50000,889.0,1.832,0.333,0.332,0.00123,2.1962016,2.1896064,0.008112096
localLoginSharedPref-50000,1069.0,1.832,0.247,0.246,0.00111,1.6290144,1.6224192000000002,0.007320672000000001
localLoginSharedPref-50000,366.0,1.877,0.386,0.385,0.00111,2.6082792,2.601522,0.007500492000000001
localLoginSharedPref-50000,899.0,1.832,0.345,0.344,0.00111,2.275344,2.2687488,0.007320672000000001
localLoginSharedPref-50000,808.0,1.832,0.169,0.168,0.00111,1.1145888000000002,1.1079936000000001,0.007320672000000001
localLoginSharedPref-50000,876.0,1.832,0.342,0.341,0.00111,2.2555584000000004,2.2489632,0.007320672000000001
localLoginSharedPref-50000,396.0,1.877,0.406,0.405,0.00111,2.7434232000000005,2.7366660000000005,0.007500492000000001
localLoginSharedPref-50000,893.0,1.832,0.204,0.203,0.00111,1.3454207999999999,1.3388256000000003,0.007320672000000001
localLoginSharedPref-50000,778.0,1.832,0.16,0.158,0.00111,1.0552320000000002,1.0420416,0.007320672000000001
localLoginEnc-10000,14355.0,3.129,3.99,3.99,0.0016,44.944956000000005,44.944956000000005,0.01802304
localLoginEnc-10000,27753.0,3.307,3.5,3.5,0.0013,41.6682,41.6682,0.01547676
localLoginEnc-10000,17372.0,3.084,3.79,3.79,0.0016,42.078096,42.078096,0.017763840000000003
localLoginEnc-10000,21989.0,3.307,3.55,3.54,0.0016,42.263459999999995,42.144408,0.01904832
localLoginEnc-10000,20161.0,3.084,3.79,3.79,0.00136,42.078096,42.078096,0.015099264000000001
localLoginEnc-10000,13072.0,3.307,3.95,3.95,0.0016,47.02554,47.02554,0.01904832
localLoginEnc-10000,21687.0,3.084,3.61,3.6,0.00173,40.079664,39.96864,0.019207152
localLoginEnc-10000,20646.0,3.263,3.68,3.68,0.00173,43.228224000000004,43.228224000000004,0.020321963999999998
localLoginEnc-10000,21799.0,3.084,3.53,3.53,0.0016,39.191472000000005,39.191472000000005,0.017763840000000003
localLoginEnc-10000,19623.0,3.039,3.74,3.74,0.0016,40.917096,40.917096,0.017504640000000002
localLoginEnc-10000,30325.0,3.039,3.15,3.15,0.0016,34.46226,34.46226,0.017504640000000002
localLoginEnc-10000,21893.0,3.039,3.69,3.69,0.0016,40.370076000000005,40.370076000000005,0.017504640000000002
localLoginEnc-10000,17727.0,3.218,3.95,3.95,0.0016,45.75996,45.75996,0.018535680000000002
localLoginEnc-10000,32190.0,3.039,3.41,3.41,0.0016,37.30676400000001,37.30676400000001,0.017504640000000002
localLoginEnc-10000,21615.0,2.994,3.74,3.74,0.0016,40.311216,40.311216,0.01724544
localLoginEnc-10000,18812.0,2.994,3.84,3.84,0.0016,41.389056000000004,41.389056000000004,0.01724544
localLoginEnc-10000,5144.0,3.218,4.11,4.11,0.0016,47.613528,47.613528,0.018535680000000002
localLoginEnc-10000,20730.0,2.994,3.62,3.62,0.0016,39.017808,39.017808,0.01724544
localLoginEnc-10000,14064.0,2.994,3.98,3.98,0.0016,42.898032,42.898032,0.01724544
localLoginEnc-10000,11368.0,2.994,4.0,3.99,0.0016,43.113600000000005,43.005816,0.01724544
localLoginEnc-10000,16603.0,2.994,3.92,3.92,0.0016,42.251328,42.251328,0.01724544
localLoginEnc-10000,17966.0,2.95,3.7,3.7,0.00154,39.294000000000004,39.294000000000004,0.0163548
localLoginEnc-10000,34981.0,2.95,3.45,3.45,0.0016,36.63900000000001,36.63900000000001,0.016992000000000004
localLoginEnc-10000,20426.0,2.95,3.68,3.68,0.0016,39.08160000000001,39.08160000000001,0.016992000000000004
localLoginEnc-10000,17625.0,2.95,3.77,3.77,0.0016,40.037400000000005,40.037400000000005,0.016992000000000004
localLoginEnc-10000,17251.0,3.129,3.65,3.65,0.0016,41.11506,41.11506,0.01802304
localLoginEnc-10000,18962.0,2.9050000000000002,3.74,3.74,0.0016,39.11292,39.11292,0.016732800000000003
localLoginEnc-10000,18119.0,3.129,3.83,3.83,0.0016,43.142652,43.142652,0.01802304
localLoginEnc-100,656.0,3.62,0.44,0.439,0.00123,5.7340800000000005,5.721048000000001,0.01602936
localLoginEnc-100,638.0,3.62,0.442,0.441,0.00111,5.760144,5.747112,0.014465520000000003
localLoginEnc-100,659.0,3.62,0.454,0.453,0.00111,5.9165280000000005,5.9034960000000005,0.014465520000000003
localLoginEnc-100,563.0,3.62,0.479,0.478,0.00111,6.242328,6.229296,0.014465520000000003
localLoginEnc-100,740.0,3.62,0.418,0.416,0.00111,5.447376,5.421312,0.014465520000000003
localLoginEnc-100,938.0,3.62,0.643,0.642,0.00111,8.379576,8.366544,0.014465520000000003
localLoginEnc-100,797.0,3.62,0.415,0.414,0.00123,5.40828,5.395248,0.01602936
localLoginEnc-100,836.0,3.62,0.258,0.257,0.00111,3.3622560000000004,3.349224,0.014465520000000003
localLoginEnc-100,685.0,3.62,0.443,0.442,0.00111,5.773176,5.760144,0.014465520000000003
localLoginEnc-100,611.0,3.62,0.456,0.454,0.00111,5.942592000000001,5.9165280000000005,0.014465520000000003
localLoginEnc-100,810.0,3.62,0.456,0.455,0.00111,5.942592000000001,5.92956,0.014465520000000003
localLoginEnc-100,636.0,3.62,0.421,0.419,0.00111,5.486472,5.460408,0.014465520000000003
localLoginEnc-100,781.0,3.665,0.419,0.418,0.00111,5.528286,5.515092,0.014645340000000001
localLoginEnc-100,608.0,3.62,0.431,0.43,0.00111,5.616792,5.60376,0.014465520000000003
localLoginEnc-100,734.0,3.62,0.507,0.506,0.00111,6.607224,6.5941920000000005,0.014465520000000003
localLoginEnc-100,643.0,3.62,0.38,0.379,0.00111,4.95216,4.939128,0.014465520000000003
localLoginEnc-100,586.0,3.62,0.454,0.453,0.00111,5.9165280000000005,5.9034960000000005,0.014465520000000003
localLoginEnc-100,626.0,3.62,0.432,0.431,0.00111,5.629824,5.616792,0.014465520000000003
localLoginEnc-100,670.0,3.62,0.000802,0.0,0.000802,0.010451664,0.0,0.010451664
localLoginEnc-100,645.0,3.62,0.422,0.421,0.00111,5.499504,5.486472,0.014465520000000003
localLoginEnc-100,607.0,3.62,0.443,0.442,0.00111,5.773176,5.760144,0.014465520000000003
localLoginEnc-100,634.0,3.62,0.41,0.409,0.00111,5.34312,5.330088,0.014465520000000003
localLoginEnc-100,626.0,3.62,0.415,0.414,0.00111,5.40828,5.395248,0.014465520000000003
localLoginEnc-100,703.0,3.62,0.429,0.428,0.00111,5.590728,5.5776959999999995,0.014465520000000003
localLoginEnc-100,934.0,3.62,0.604,0.603,0.00105,7.871328,7.858295999999999,0.0136836
localLoginEnc-100,880.0,3.62,0.384,0.383,0.00111,5.004288000000001,4.991256,0.014465520000000003
localLoginEnc-100,747.0,3.62,0.48,0.479,0.00111,6.2553600000000005,6.242328,0.014465520000000003
localLogin-100,476.0,3.576,0.389,0.388,0.00111,5.0078304000000005,4.994956800000001,0.014289696000000001
localLogin-100,634.0,3.576,0.268,0.267,0.00111,3.4501248,3.4372512000000004,0.014289696000000001
localLogin-100,570.0,3.576,0.416,0.415,0.00111,5.3554176,5.342544,0.014289696000000001
localLogin-100,531.0,3.576,0.377,0.376,0.00111,4.8533472,4.8404736,0.014289696000000001
localLogin-100,633.0,3.576,0.377,0.376,0.00111,4.8533472,4.8404736,0.014289696000000001
localLogin-100,647.0,3.576,0.431,0.43,0.00111,5.548521600000001,5.535648,0.014289696000000001
localLogin-100,544.0,3.62,0.41,0.409,0.00111,5.34312,5.330088,0.014465520000000003
localLogin-100,492.0,3.576,0.39,0.389,0.00111,5.020704,5.0078304000000005,0.014289696000000001
localLogin-100,1135.0,3.62,0.687,0.686,0.00111,8.952984,8.939952000000002,0.014465520000000003
localLogin-100,517.0,3.576,0.347,0.346,0.00111,4.467139199999999,4.4542656,0.014289696000000001
localLogin-100,492.0,3.576,0.394,0.393,0.00111,5.0721984,5.059324800000001,0.014289696000000001
localLogin-100,564.0,3.576,0.382,0.381,0.00111,4.9177152,4.904841600000001,0.014289696000000001
localLogin-100,732.0,3.62,0.308,0.307,0.00111,4.0138560000000005,4.000824,0.014465520000000003
localLogin-100,529.0,3.576,0.393,0.392,0.00111,5.059324800000001,5.0464512,0.014289696000000001
localLogin-100,532.0,3.576,0.369,0.368,0.00111,4.7503584000000005,4.7374848,0.014289696000000001
localLogin-100,680.0,3.576,0.38,0.378,0.00111,4.891968,4.8662208,0.014289696000000001
